number,title,user,created_at,closed_at,merged,merged_at
24796,Use normal slash in #include,georgthegreat,2023-12-29 08:55:32+00:00,2023-12-29 13:26:44+00:00,True,2023-12-29 13:26:44+00:00
24793,imgcodecs: suppress warning at test_avif.cpp,Kumataro,2023-12-29 04:02:46+00:00,2023-12-29 13:27:41+00:00,True,2023-12-29 13:27:41+00:00
24790,Fix avif version detection,FantasqueX,2023-12-28 16:20:26+00:00,2023-12-29 13:27:59+00:00,True,2023-12-29 13:27:59+00:00
24784,Release 4.9.0.,asmorkalov,2023-12-27 16:48:48+00:00,2023-12-27 18:01:25+00:00,True,2023-12-27 18:01:25+00:00
24778,Reworked camera stream check to exclude non-video formats,asmorkalov,2023-12-27 11:33:42+00:00,2023-12-27 16:43:17+00:00,True,2023-12-27 16:43:17+00:00
24776,docs: exclude bindings utils,opencv-alalek,2023-12-26 22:58:52+00:00,2023-12-27 08:25:01+00:00,True,2023-12-27 08:25:01+00:00
24775,build: disable Python2 detection by default,opencv-alalek,2023-12-26 21:21:11+00:00,2023-12-27 06:36:49+00:00,True,2023-12-27 06:36:49+00:00
24771,Remove deprecated CMake variable,FantasqueX,2023-12-26 10:29:50+00:00,2023-12-26 13:36:20+00:00,True,2023-12-26 13:36:20+00:00
24769,Added exception warning to calibrateCamera description.,asmorkalov,2023-12-25 16:00:22+00:00,2023-12-26 10:27:57+00:00,True,2023-12-26 10:27:57+00:00
24767,ffmpeg/4.x: update FFmpeg wrapper 2023.12,opencv-alalek,2023-12-25 13:57:13+00:00,2023-12-25 17:55:41+00:00,True,2023-12-25 17:55:41+00:00
24766,pre: OpenCV 4.9.0 (version++),asmorkalov,2023-12-25 10:21:13+00:00,2023-12-25 13:04:54+00:00,True,2023-12-25 13:04:54+00:00
24764,Document read-only check in Python bindings,asmorkalov,2023-12-25 09:48:44+00:00,2023-12-26 14:37:40+00:00,True,2023-12-26 14:37:40+00:00
24763,"dnn(test): skip very long debug tests, reduce test time",opencv-alalek,2023-12-25 08:30:32+00:00,2023-12-25 09:31:36+00:00,True,2023-12-25 09:31:36+00:00
24761,dnn(test): skip tests on 32-bit Windows,opencv-alalek,2023-12-25 03:07:20+00:00,2023-12-25 08:27:34+00:00,True,2023-12-25 08:27:34+00:00
24759,Replace deprecated symbol with AVVideoCodecTypeH264 deprecated since ios11,jubinchheda,2023-12-24 18:45:01+00:00,2023-12-25 10:31:12+00:00,True,2023-12-25 10:31:12+00:00
24755,Fix typos in imgproc/src/contours.cpp,MaximSmolskiy,2023-12-22 19:03:55+00:00,2023-12-24 08:40:12+00:00,True,2023-12-24 08:40:12+00:00
24754,Refine logic of parsing PNG version,FantasqueX,2023-12-22 16:22:31+00:00,2023-12-25 08:59:06+00:00,True,2023-12-25 08:59:06+00:00
24753,dnn onnx: support constaint inputs in einsum importer,fengyuentau,2023-12-22 15:46:17+00:00,2023-12-25 11:42:05+00:00,True,2023-12-25 11:42:05+00:00
24752,Enable Android AAR package build with SDK project itself without Python,asmorkalov,2023-12-22 13:25:49+00:00,2023-12-25 17:38:47+00:00,True,2023-12-25 17:38:47+00:00
24751,[CUDA] Hotfix Scale with 1 parameter,dkurt,2023-12-22 12:45:34+00:00,2023-12-22 13:52:50+00:00,True,2023-12-22 13:52:50+00:00
24749,Fix OpenJPEG version in cmake scripts,FantasqueX,2023-12-22 12:20:07+00:00,2023-12-22 13:51:45+00:00,True,2023-12-22 13:51:45+00:00
24747,Increate Vit_b test threshold a bit for CUDA FP16.,asmorkalov,2023-12-22 10:39:14+00:00,2023-12-22 14:04:46+00:00,True,2023-12-22 14:04:46+00:00
24744,added URL to understand CUDA options,chacha21,2023-12-22 07:12:43+00:00,2023-12-22 11:08:14+00:00,True,2023-12-22 11:08:14+00:00
24741,Fix zlib version parse,FantasqueX,2023-12-21 17:21:52+00:00,2023-12-22 11:56:43+00:00,True,2023-12-22 11:56:43+00:00
24740,ocl: fix kernels compilation,opencv-alalek,2023-12-21 14:39:16+00:00,2023-12-22 06:20:47+00:00,True,2023-12-22 06:20:47+00:00
24738,Build Javadoc and source package together with AAR,asmorkalov,2023-12-21 13:59:43+00:00,2023-12-21 18:12:47+00:00,False,
