Author,Commited Date,Contributor,Files,Passed
cudawarped,2023-12-29,cudawarped,['cmake/OpenCVDetectCUDA.cmake'],Success
Rageking8,2023-12-29,Rageking8,['modules/core/include/opencv2/core/quaternion.inl.hpp'],Success
Alexander Smorkalov,2023-12-29,asmorkalov,['CMakeLists.txt'],Success
Alexander Smorkalov,2023-12-29,asmorkalov,['modules/imgcodecs/test/test_avif.cpp'],Success
Alexander Smorkalov,2023-12-29,asmorkalov,['modules/videoio/src/cap_winrt_bridge.hpp'],Success
Yuriy Chernyshov,2023-12-29,georgthegreat,['modules/videoio/src/cap_winrt_bridge.hpp'],Success
Kumataro,2023-12-29,Kumataro,['modules/imgcodecs/test/test_avif.cpp'],Success
Abduragim Shtanchaev,2023-12-27,Abdurrahheem,['modules/dnn/test/test_onnx_importer.cpp'],Success
Letu Ren,2023-12-28,FantasqueX,['CMakeLists.txt'],Success
Alexander Smorkalov,2023-12-28,asmorkalov,"['samples/android/15-puzzle/build.gradle.in', 'samples/android/camera-calibration/build.gradle.in', 'samples/android/color-blob-detection/build.gradle.in', 'samples/android/face-detection/build.gradle.in', 'samples/android/image-manipulations/build.gradle.in', 'samples/android/mobilenet-objdetect/build.gradle.in', 'samples/android/qr-detection/build.gradle.in', 'samples/android/tutorial-1-camerapreview/build.gradle.in', 'samples/android/tutorial-2-mixedprocessing/build.gradle.in', 'samples/android/tutorial-3-cameracontrol/build.gradle.in', 'samples/android/tutorial-4-opencl/build.gradle.in', 'samples/android/video-recorder/build.gradle.in']",Success
Alexander Alekhin,2023-12-28,alalek,['modules/core/include/opencv2/core/version.hpp'],Success
Alexander Smorkalov,2023-12-27,asmorkalov,['modules/core/include/opencv2/core/version.hpp'],Success
Alexander Smorkalov,2023-12-27,asmorkalov,['modules/videoio/src/cap_msmf.cpp'],Success
Alexander Smorkalov,2023-12-27,asmorkalov,['modules/videoio/src/cap_msmf.cpp'],Success
