Name,Type,Version,Date Appear,Author,Solve Date
SVM model training and classification  return error,bug,Not specified,2024-06-15 10:37:42+00:00,ZJDATY,2024-06-15 12:00:27+00:00
Accuracy tests for equalizeHist() added,test,4.11.0,2024-06-12 23:48:26+00:00,savuor,2024-06-15 09:44:36+00:00
Opencv 4.5.4 with Cuda Build Error,bug,Not specified,2024-06-12 15:53:38+00:00,ahmet-f-gumustas,2024-06-12 19:33:35+00:00
Fix arithmetics in CV_32F branch of divSpectrums(),bug,4.11.0,2024-06-10 14:23:19+00:00,rlexmann,2024-06-11 08:16:23+00:00
phaseCorrelate fails with larger 16bit images,bug,4.11.0,2024-06-10 14:18:36+00:00,rlexmann,2024-06-11 11:26:49+00:00
Fix license url final - In reference to Issue # 25730,Uncategorized,Not specified,2024-06-08 20:44:50+00:00,Bruce387,2024-06-08 22:03:42+00:00
Fix OpenCV.js tests,test,4.11.0,2024-06-08 18:43:07+00:00,dkurt,2024-06-11 09:01:52+00:00
Create bike.xml,pr: Discussion Required,Not specified,2024-06-08 08:19:18+00:00,Rinzler09,2024-06-14 06:42:28+00:00
3rdparty/ ndsrvp and hal_rvv seeems no lincense files.,category: documentation,Not specified,2024-06-08 05:07:58+00:00,Kumataro,2024-06-14 09:35:43+00:00
Update platforms/readme.txt,invalid,Not specified,2024-06-08 02:28:16+00:00,Bruce387,2024-06-08 16:50:57+00:00
Additional Comments for Conformance Denylist,test,5.0,2024-06-07 11:53:29+00:00,Abdurrahheem,2024-06-10 10:51:47+00:00
Better doc for WARP_RELATIVE_MAP,category: documentation,4.11.0,2024-06-07 10:26:43+00:00,chacha21,2024-06-10 08:09:25+00:00
test: use cv::theRNG instead of own generator,test,4.11.0,2024-06-06 14:34:34+00:00,mshabunin,2024-06-07 17:41:12+00:00
updated testSeveralBoardsWithCustomIds to enable in 5.x,test,4.11.0,2024-06-06 11:27:44+00:00,AleksandrPanov,2024-06-06 17:01:33+00:00
fix: mark floodFill mask as optional in Python typing stubs,bug,4.11.0,2024-06-06 08:55:59+00:00,VadimLevin,2024-06-06 10:36:00+00:00
OpenCV 4.10.0 does not compile with CUDA 10.2,bug,4.11.0,2024-06-06 08:29:46+00:00,chacha21,2024-06-06 11:26:40+00:00
Android SDK build script: HWAsan support added,category: build/install,4.11.0,2024-06-06 02:37:16+00:00,savuor,2024-06-11 07:12:38+00:00
Added potential fix for Android H264 Encoding Bug,category: videoio,4.11.0,2024-06-05 16:25:16+00:00,alexlyulkov,2024-06-06 09:48:20+00:00
`floodFill` `mask` argument is missing `| None` part of type signature,bug,4.11.0,2024-06-05 14:48:02+00:00,johnthagen,2024-06-06 10:36:01+00:00
Wrap dnn addLayer,test,4.11.0,2024-06-05 11:43:10+00:00,dkurt,2024-06-07 17:39:45+00:00
`cuda`: Add missing python CUDA dependency when CUDA is a first class language,category: python bindings,4.11.0,2024-06-04 15:59:03+00:00,cudawarped,2024-06-11 07:49:14+00:00
imgproc: fixed imread with output image argument,bug,4.11.0,2024-06-04 11:48:37+00:00,mshabunin,2024-06-06 09:50:30+00:00
Disable more G-API streaming test due to unstability.,test,4.11.0,2024-06-04 08:08:33+00:00,asmorkalov,2024-06-04 10:01:21+00:00
Update cv::FaceRecognizerSF class documentation,category: documentation,4.11.0,2024-06-03 21:30:15+00:00,keanep,2024-06-04 08:03:31+00:00
FaceRecognizerSF documentation typos,category: documentation,4.11.0,2024-06-03 21:11:51+00:00,keanep,2024-06-04 08:03:55+00:00
HSV Conversion for Grayscale Images to OpenCV Python Package,incomplete,Not specified,2024-06-03 19:15:21+00:00,kapardhi03,2024-06-05 07:02:32+00:00
Security issue,Uncategorized,Not specified,2024-06-03 16:00:46+00:00,cole-gannaway-sonarsource,2024-06-03 16:00:57+00:00
CMake install target on Windows does not install libs into correct subdirs,question (invalid tracker),Not specified,2024-06-03 13:25:22+00:00,MrMoose,2024-06-07 07:51:21+00:00
Fix `cv::imread` with `OutputArray dst`,bug,4.11.0,2024-06-03 12:20:22+00:00,cocoa-xu,2024-06-05 10:42:19+00:00
`cv::imread` with `OutputArray dst` returns with empty output,bug,4.11.0,2024-06-03 12:06:01+00:00,cocoa-xu,2024-06-06 09:50:31+00:00
Release 4.10.0,Uncategorized,Not specified,2024-06-02 11:42:45+00:00,asmorkalov,2024-06-02 16:20:34+00:00
the first grab on a camera video stream is consistently several hundreds of milliseconds long,question (invalid tracker),Not specified,2024-06-01 20:12:17+00:00,matanox,2024-06-03 11:39:38+00:00
Suppress build warnings for GCC14,test,4.10.0,2024-06-01 02:29:16+00:00,Kumataro,2024-06-02 11:14:04+00:00
Sistema de seguridad con reconocimiento facial ,invalid,Not specified,2024-05-31 16:28:43+00:00,Jarbe-12,2024-06-02 07:10:32+00:00
Sistema de seguridad ,invalid,Not specified,2024-05-31 16:03:50+00:00,Jarbe-12,2024-05-31 16:10:08+00:00
calib3d: fix data type for ilp64 lapack,category: build/install,4.10.0,2024-05-31 14:48:47+00:00,fengyuentau,2024-05-31 16:24:26+00:00
Capture the raw frame of the webcam,question (invalid tracker),Not specified,2024-05-31 14:42:27+00:00,jim-king-2000,2024-06-07 08:16:50+00:00
