Name,Type,Version,Date Appear
Linker error while building on mac intel,bug,Not specified,2024-06-14 14:33:22+00:00
OpenCV-cpp+DNN  yolov10 onnx bug,Uncategorized,Not specified,2024-06-14 11:11:10+00:00
"Fixed cumsum layer, enabled conformance tests",category: dnn,5.0,2024-06-14 10:10:34+00:00
ONNX broken for identity function,bug,4.11.0,2024-06-13 14:13:12+00:00
ONNX does not work for BMM function,bug,4.11.0,2024-06-13 12:59:44+00:00
Fix  parser for supporting mean operation from conformance tests,category: dnn (onnx),5.0,2024-06-13 12:21:00+00:00
dnn/video: TrackerVit crashes when target is lost,bug,4.11.0,2024-06-13 08:45:05+00:00
Use onRuntimeInitialized with OpenCV.js Node tests,test,4.11.0,2024-06-12 14:49:06+00:00
[BUG FIX] Segmentation sample u2netp model results,Uncategorized,5.0,2024-06-12 13:15:10+00:00
Added more types support to dnn layers,feature,Not specified,2024-06-12 12:17:04+00:00
Possible memory leak in fastNlMeansDenoisingColored,bug,Not specified,2024-06-12 11:59:28+00:00
Inconsistent result from sementation sample for u2netp model,bug,5.0,2024-06-12 11:50:53+00:00
opencv still uses Concurrency Runtime in parallel_for_xxx functions on Windows,feature,Not specified,2024-06-12 09:47:51+00:00
Add missing cv2eigen overload,category: 3rdparty,4.11.0,2024-06-12 07:04:39+00:00
Does OpenCV really support FFmpeg 5.0+ on Windows?,bug,Not specified,2024-06-12 06:10:40+00:00
G-API error in some PatternMatchingIntegrationE2E tests,bug,Not specified,2024-06-11 21:18:30+00:00
G-API error in VASObjectTracker test,bug,Not specified,2024-06-11 21:11:23+00:00
Cant install latest opencv due to undefined reference (libcublas),bug,Not specified,2024-06-11 20:38:42+00:00
 Android SDK build script: HWAsan flags added for release mode,category: build/install,4.11.0,2024-06-11 19:25:27+00:00
Merge 4.x -> 5.x,Uncategorized,Not specified,2024-06-11 17:12:02+00:00
error: (-216:No CUDA support) OpenCV was not built to work with the selected device. Please check CUDA_ARCH_PTX or CUDA_ARCH_BIN in your build configuration. in function 'initCUDABackend'a support ,bug,Not specified,2024-06-11 14:37:48+00:00
Add FP16 support for RISC-V,Uncategorized,Not specified,2024-06-11 08:37:24+00:00
CMake Error at cmake/OpenCVDetectCUDAUtils.cmake:297 (list):   list GET given empty list,question (invalid tracker),Not specified,2024-06-11 06:30:09+00:00
HWASan error in G-API core test,bug,4.11.0,2024-06-11 01:27:12+00:00
dnn 5.x with OpenVINO 2022.1 backend doesn't pass integer tests because of the NaryEltwise layer,bug,Not specified,2024-06-10 20:36:52+00:00
Fixed blank layer for OpenVINO 2022.1,category: dnn,5.0,2024-06-10 20:13:17+00:00
OpenCV 4.10.0 segfault when using OpenVINO 2024.0.0,bug,Not specified,2024-06-10 12:26:54+00:00
HWASan error in BufferArea tests,bug,Not specified,2024-06-10 01:13:54+00:00
Docs for Python imshow example improvement,category: documentation,Not specified,2024-06-09 04:26:02+00:00
all: http://opencv.org/license.html returns 404 status.,category: documentation,Not specified,2024-06-08 05:35:41+00:00
Fixed result buffer overflow in intersectConvexConvex_ for non-convex input,bug,4.11.0,2024-06-07 09:42:28+00:00
Add SIMD256 intrinsics to demosaicing,optimization,Not specified,2024-06-07 02:35:41+00:00
There seems to be an issue with the parallel_for_ function in the parallel.cpp file.,bug,Not specified,2024-06-06 08:57:13+00:00
"Use of omp_set_dynamic() creates nonsensical OpenMP behaviour, using only 1 thread",bug,Not specified,2024-06-06 01:29:41+00:00
APNG Support,category: imgcodecs,Not specified,2024-06-05 16:24:07+00:00
Python return types in 4.10 break type checking due to not depending on input types,bug,Not specified,2024-06-05 14:00:25+00:00
opencv-java 4.10.0 win11 加载yolov10 onnx报错,bug,4.11.0,2024-06-05 13:41:38+00:00
OpenCV build with CuDNN 9.x reports false CuDNN version mismatch,bug,4.11.0,2024-06-05 13:04:48+00:00
Merged yolo_detector and object detection sample,category: samples,5.0,2024-06-05 12:27:37+00:00
[WIP] Replace FLANN with Annoy,cleanup,5.0,2024-06-05 04:22:28+00:00
Max/Min pool,feature,Not specified,2024-06-04 21:15:19+00:00
Window freezes after 4 updates,bug,Not specified,2024-06-04 15:42:15+00:00
Allow customizing number of components in GrabCut algo,feature,Not specified,2024-06-04 15:22:07+00:00
"Problem in Subdiv2D, empty triangulation",bug,Not specified,2024-06-03 12:46:35+00:00
On macOS linking to third-party Orbbec SDK binary by default,category: videoio(camera),Not specified,2024-06-03 11:02:21+00:00
Should the camera pose be changed to object pose in the introduction of Homography from the camera display？,category: documentation,Not specified,2024-06-03 07:31:20+00:00
[GSoC] Add GIF decode for imgcodecs,feature,4.11.0,2024-06-02 13:41:29+00:00
Building OpenCV for Python with Cuda 12.5 and cuDNN 9.1.1: A dynamic link library (DLL) initialization routine failed.,duplicate,Not specified,2024-06-02 01:21:16+00:00
